AirQualityStationEoICode,Countrycode,Namespace,LON,LAT,Altitude,AirQualityStationType,AirQualityStationArea,BuildingDistance,KerbDistance,station_name
AT60172,AT,AT.0008.20.AQ,15.431851,47.069208,360,background,urban,13,45,Graz Mitte Gries
AT60177,AT,AT.0008.20.AQ,14.244676,47.565435,649,background,suburban,,,Liezen Pyhnbrach - Alte Gasse
AT60178,AT,AT.0008.20.AQ,15.628378,47.215696,459,background,suburban,,,Weiz Bahnhofstraße
AT60179,AT,AT.0008.20.AQ,15.971899,47.282813,349,background,suburban,14,40,Hartberg Zentrum
AT60180,AT,AT.0008.20.AQ,15.253318,47.409432,485,background,suburban,15,5,Bruck an der Mur Flurgasse
AT60183,AT,AT.0008.20.AQ,15.346416,47.206123,410,industrial/background,rural/rural-regional,30,550,Peggau
AT60191,AT,AT.0008.20.AQ,15.32457,47.138891,381,industrial,rural,,,Gratwein
AT60194,AT,AT.0008.20.AQ,15.673069,47.604709,679,background,suburban/urban,29,,Mürzzuschlag Roseggerpark
AT60195,AT,AT.0008.20.AQ,15.212786,46.813895,367,background,suburban/urban,12,80.2333333333333,Deutschlandsberg Rathausgasse
AT60197,AT,AT.0008.20.AQ,15.540569,46.778341,271,background,suburban,20,5.3,Leibnitz Lastenstraße
AT60198,AT,AT.0008.20.AQ,16.078914,47.047096,276,background,suburban,,105,Fürstenfeld Schillerplatz
AT72106,AT,AT.0008.20.AQ,11.417324,47.271463,570,traffic/background,urban,14.5,6.25,Innsbruck Reichenau - Andechsstraße
AT72110,AT,AT.0008.20.AQ,11.392712,47.262845,578,traffic/background,urban,5.44444444444445,1,Innsbruck Zentrum - Fallmerayerstraße
AT72113,AT,AT.0008.20.AQ,11.371229,47.270423,675,background,suburban,,,Innsbruck Sadrach
AT72223,AT,AT.0008.20.AQ,11.390735,47.239787,684,traffic,rural/suburban,70.5,4.4,Gärberbach A13 Brennerautobahn
AT72227,AT,AT.0008.20.AQ,11.512518,47.278067,559,traffic/background,suburban,30,230,Hall in Tirol Untere Lend
AT72315,AT,AT.0008.20.AQ,10.735651,47.216955,717,traffic,rural/suburban,50.5,5,Imst Inntalautobahn A12
AT72530,AT,AT.0008.20.AQ,12.067026,47.488836,509,traffic/background,suburban,15,4,Wörgl Stelzhamerstraße
AT72538,AT,AT.0008.20.AQ,11.910231,47.458926,601,background,rural-regional/rural,,,Kramsach Angerberg
AT72550,AT,AT.0008.20.AQ,11.958205,47.468911,508,traffic,rural/rural-regional,100,5.33333333333333,Kundl A12 Inntal-Autobahn
AT72552,AT,AT.0008.20.AQ,12.172925,47.583775,496,traffic/background,urban,7,5.4,Kufstein Zentrum Praxmarerstraße
AT72710,AT,AT.0008.20.AQ,10.744163,47.447683,989,traffic/background,rural,17,135,Heiterwang
AT72821,AT,AT.0008.20.AQ,11.692505,47.348937,554,traffic/background,suburban/rural,50,4.375,Vomp A12 (Inntalautobahn); Raststätte
AT72822,AT,AT.0008.20.AQ,11.693102,47.34847,544,traffic/background,rural,8.5,55,Vomp An der Leiten
AT72910,AT,AT.0008.20.AQ,12.765611,46.827883,672,traffic/background,urban,25,3.57142857142857,Lienz Amlacherkreuzung
AT72912,AT,AT.0008.20.AQ,12.765958,46.819142,681,background,suburban,14,60,Lienz Tristacher-See-Straße; Tiefbrunnen
AT80503,AT,AT.0008.20.AQ,9.926679,47.529187,1020,background,rural-remote/rural-regional,,,Sulzberg - Gmeind
AT80706,AT,AT.0008.20.AQ,9.653198,47.410517,410,background,urban/suburban,,,Lustenau Wiesenrain
AT80709,AT,AT.0008.20.AQ,9.640412,47.459286,405,traffic,suburban/urban,20,5,Höchst Gemeindeamt
AT80710,AT,AT.0008.20.AQ,9.649958,47.432504,410,traffic,suburban/urban,10,5,Lustenau Zollamt
AT80807,AT,AT.0008.20.AQ,9.743823,47.410426,440,background/traffic,urban,10,10,Dornbirn Stadtstraße
AT81919,AT,AT.0008.20.AQ,9.597244,47.23918,460,traffic/background,urban,2.77777777777778,5,Feldkirch Bärenkreuzung
AT82708,AT,AT.0008.20.AQ,9.82484,47.15631,580,background,suburban/urban,,5,Bludenz Herrengasse
AT82801,AT,AT.0008.20.AQ,10.03973,47.12841,940,traffic/background,rural,50,16,Wald am Arlberg S16
AT900KE,AT,AT.0008.20.AQ,16.475801,48.156812,156,industrial/background,suburban,34,8,Kaiser-Ebersdorf
AT900ZA,AT,AT.0008.20.AQ,16.357431,48.249086,208,background,urban/suburban,0.75,146,Hohe Warte
AT90A23,AT,AT.0008.20.AQ,16.434568,48.20305,162,traffic/background,urban/suburban,29,162.826086956522,Wehlistraße/Südosttangente
AT90AKC,AT,AT.0008.20.AQ,16.345693,48.21933,192,traffic/background,urban,15,102.28,AKH
AT90FLO,AT,AT.0008.20.AQ,16.396952,48.260982,160,traffic/background,urban,8,32.4,Floridsdorf
AT90LOB,AT,AT.0008.20.AQ,16.526099,48.162263,153,background/industrial,suburban,3,2180,Lobau
AT90MBA,AT,AT.0008.20.AQ,16.300899,48.18861,194,traffic,urban,0.75,3.14285714285714,Hietzinger Kai
AT9BELG,AT,AT.0008.20.AQ,16.362157,48.174646,219,traffic/background,urban,15.3333333333333,4.57142857142857,Belgradplatz
AT9GAUD,AT,AT.0008.20.AQ,16.339878,48.18743,177,traffic/background,urban,11,54.4444444444445,Gaudenzdorf
AT9JAEG,AT,AT.0008.20.AQ,16.29801,48.270589,502,background,suburban,,,Hermannskogel
AT9KEND,AT,AT.0008.20.AQ,16.31014,48.205277,233,traffic/background,urban,3.125,6.25,Kendlerstraße
AT9LIES,AT,AT.0008.20.AQ,16.299242,48.139822,213,traffic/background,suburban,5,6.66666666666667,Liesing - Gewerbegebiet
AT9SCHA,AT,AT.0008.20.AQ,16.302235,48.235578,319,background,suburban,4,13,Schafberg
AT9STAD,AT,AT.0008.20.AQ,16.459447,48.22721,157,background,urban,45,5,Stadlau
AT9STEF,AT,AT.0008.20.AQ,16.373524,48.208486,172,background,urban,5,,Stephansplatz
AT2KA41,AT,AT.0008.20.AQ,14.289254,46.629474,550,background,suburban,,,Klagenfurt Kreuzbergl
AT2M121,AT,AT.0008.20.AQ,13.70522,46.557774,574,industrial/background,suburban/rural,17,2.66666666666667,Arnoldstein Gailitz Waldsiedlungsstraße
AT2VL52,AT,AT.0008.20.AQ,13.910316,46.691566,1896,background,rural-regional/rural-remote,,,Gerlitzen Steinturm
AT30103,AT,AT.0008.20.AQ,14.866668,48.179735,465,background,rural-regional/rural,,,Kollmitzberg
AT30603,AT,AT.0008.20.AQ,16.433332,48.086103,172,background,rural-nearcity/suburban,,,Himberg; Alter Markt
AT30701,AT,AT.0008.20.AQ,15.942769,48.528893,230,background,rural-regional,,,Ziersdorf
AT30801,AT,AT.0008.20.AQ,15.500264,48.724432,556,background,rural-regional,,10,Irnfritz - Rothweinsdorf
AT31102,AT,AT.0008.20.AQ,15.32194,47.858605,886,background,rural-remote/rural-regional,100,,Annaberg; Joachimsberg
AT31301,AT,AT.0008.20.AQ,16.580561,48.578609,250,background,suburban/rural,50,,Mistelbach Steinhübel
AT32101,AT,AT.0008.20.AQ,16.29308,47.60833,738,background,rural-regional,,,Wiesmath
AT4S235,AT,AT.0008.20.AQ,13.720757,47.815842,1602,background,rural-remote/rural,,,Feuerkogel (Höllengebirge)
AT60018,AT,AT.0008.20.AQ,15.438063,47.076534,450,background,urban,,,Graz Schloßberg
AT60036,AT,AT.0008.20.AQ,15.493646,47.066984,477,background,suburban,,,Graz Lustbühel
AT60150,AT,AT.0008.20.AQ,15.360833,47.405269,1615,background,rural-remote,,,Rennfeld
AT60157,AT,AT.0008.20.AQ,13.796676,47.623622,980,background,rural-remote/rural-regional,,,Grundlsee Tressensattel
AT60185,AT,AT.0008.20.AQ,15.956398,46.760126,358,background,rural-regional,,,Klöch bei Bad Radkersburg
AT60189,AT,AT.0008.20.AQ,13.636408,47.359304,1847,background,rural-remote,,,Hochwurzen
AT60190,AT,AT.0008.20.AQ,15.367765,46.651958,785,background/industrial,rural-regional,,,Arnfels - Remschnigg
AT60196,AT,AT.0008.20.AQ,14.330008,47.040275,1754,background,rural-regional/rural-remote,,,Grebenzen bei St. Lambrecht
AT72705,AT,AT.0008.20.AQ,10.682255,47.469918,878,background,rural-regional,30,2,Höfen Lärchbichl
AT90LAA,AT,AT.0008.20.AQ,16.392868,48.161224,250,background,urban/suburban,24,23.7777777777778,Laaer Berg
AT2M226,AT,AT.0008.20.AQ,14.39849,46.609315,425,background,rural,21,6,Ebenthal Zell
AT2WO25,AT,AT.0008.20.AQ,14.822216,46.76389,430,industrial/background,urban/suburban,19,5.5,St. Andrä i. L. Volksschule
AT4S415,AT,AT.0008.20.AQ,14.297772,48.323346,255,traffic/background/industrial,urban/suburban,74,19.5454545454545,Linz 24er Turm A7
AT72519,AT,AT.0008.20.AQ,11.872388,47.429931,520,industrial/background,rural,10,1.22222222222222,Brixlegg Innweg
AT90TAB,AT,AT.0008.20.AQ,16.381359,48.217307,161,traffic,urban,5.54545454545455,4.36363636363636,Taborstraße
AT52055,AT,AT.0008.20.AQ,13.233065,47.650431,1012,background,rural-regional/rural,,,St. Koloman Kleinhorn
