ID,NAME,LAT,LON
1,Boccetta,38.198286,15.552942
2,C.da Gabbia,38.205535,15.310155
3,Enna,37.564125,14.281463
4,Gela exAutoparco,37.055867,14.297144
5,Megara SR,37.1946,15.1829
6,Milazzo Termica,38.190608,15.249112
7,Misterbianco,37.515714,15.010788
8,Parcheggio Agip Gela,37.05961,14.26508
9,Partinico,38.050162,13.11859
10,Sasol,37.221026,15.169058
11,Termini,37.977905,13.687856
12,Trapani,38.012365,12.546894

