"ID_STAZIONE","NOME_STAZIONE","LAT","LON"
5000027,"MONTALE",45.026691437,9.749596596
9000002,"AZIENDA MARANI",44.46608,12.208228
9000014,"ZALAMELLA",44.427783966,12.186494827
8000002,"ISONZO",44.842488,11.613141
8000038,"CENTO",44.733011,11.299659
6000034,"MONTEFIORE",44.144489288,12.257917404
9000020,"COTIGNOLA",44.391576,11.943351
5000024,"GERBIDO",45.055889,9.747946
7000047,"CABINA MAINSITE",44.524627,11.340932
6000011,"ROMA",44.215974,12.057502
3000010,"CORREGGIO",44.77,10.79
3000001,"CASTELLARANO",44.516242,10.733905
3000005,"ORTOLANE",44.71,10.65
3000003,"MASSENZATICO",44.73,10.7
5000062,"BESENZONE",44.9895,10.019201
9000007,"S. ALBERTO",44.454783,12.158316
8000005,"BOLOGNA",44.82998,11.60999
7000036,"SAN MARINO",44.606709,11.42194
9000052,"VIA ARGINI",44.475946,12.127725
9000050,"PANTANELLA",44.463827,12.194227
9000048,"FIUMETTO",44.45614,12.183602
4000015,"MO - 20 SETTEMBRE",44.646201,10.926769
8000008,"708 CENTO",44.71999,11.290002
4000009,"SPEZZANO 1",44.540857,10.853961
4000007,"CASTELFRANCO",44.598086,11.04704
8000045,"BARCO NUOVA",44.85998,11.61
7000003,"PIRANDELLO",44.350473,11.699742
4000152,"GAVELLO",44.928769,11.178946
3000006,"TIMAVO (OLD)",44.69787,10.624428
10000072,"MONDAINO",43.84381,12.648365
5000007,"LUGAGNANO",44.82389,9.830369
5000065,"PARCO MONTECUCCO",45.038544,9.669349
4000110,"SAN FRANCESCO",44.542152405,10.819877625
3000022,"S. ROCCO",44.873727,10.664777
3000012,"CASTELNOVO NE MONTI",44.430913,10.407079
3000007,"S. LAZZARO",44.689042,10.663591
5000015,"PIATTI",45.043605,9.69032
5000010,"SARMATO",45.05954,9.499687
10000060,"SAN CLEMENTE",43.93183,12.62728
10000004,"RICCIONE",44.005672,12.659494
9000023,"METEO PORTINERIA",44.44,12.23
9000019,"BISAURA",44.330292,11.902155
4000008,"SASSUOLO",44.545529,10.785693
9000064,"ROCCA BRANCALEONE",44.4,12.21
4000157,"MUNAROLA",44.68091,10.992962
9000077,"PORTO SAN VITALE",44.443746,12.253247
3000025,"TIMAVO",44.69955,10.622759
