"SiteCode","Countrycode","LocalCode","LocalName","Lat","Lon","EoICode","Altitude","AirQualityStationType","AirQualityStationArea","MeasurementType","InletHeight","BuildingDistance","KerbDistance","Source"
"ITC48_0NBl1tAX.","IT","672","Cornale (Voghera Energia)",45.04008,8.91414,NA,74,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC48_0NqA1tZT.","IT","642","Pavia - via Folperti",45.19468,9.16464,"IT0912A",77,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC49_0Oft1trQ.","IT","600","Lodi - viale Vignati",45.30601,9.48526,"IT1286A",80,"traffic","urban","automatic",3,9,13,"ARPA-Lombardia"
"ITC49_0OhV1tqu.","IT","1265","Lodi - S. Alberto",45.30278,9.49527,"IT1965A",76,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC4A_0Pes1tns.","IT","633","Soresina",45.28398,9.8634,"IT0840A",70,"traffic","suburban","automatic",3,20,10,"ARPA-Lombardia"
"ITC4A_0Ppi1tSL.","IT","1297","Spinadesco",45.15047,9.9306,NA,48,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4A_0Q3R1tPL.","IT","627","Cremona - p.zza Cadorna",45.13195,10.01574,"IT1153A",39,"traffic","urban","automatic",3,17,5,"ARPA-Lombardia"
"ITC4A_0Q7y1tR3.","IT","677","Cremona - Via Fatebenefratelli",45.14254,10.04384,"IT1739A",43,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC4B_0Rn81u8e.","IT","695","Ponti sul Mincio",45.41277,10.68336,NA,113,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4B_0S5E1tTy.","IT","670","Mantova - S.Agnese",45.16057,10.79556,"IT1868A",22,"background","urban","automatic",3,NA,NA,"ARPA-Lombardia"
"ITC4B_0SoT1t6n.","IT","703","Schivenoglia",45.01688,11.07609,NA,NA,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4B_0T5N1tBZ.","IT","697","Borgofranco - loc. Bonizzo",45.0465,11.18094,NA,14,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC4C_0NvT1uHx.","IT","548","Milano - via Senato",45.4705,9.19746,"IT1016A",118,"traffic","urban","automatic",3.5,18,5,"ARPA-Lombardia"
"ITC4C_0O1b1uJK.","IT","705","Milano - Pascal Città Studi",45.479,9.23549,"IT1692A",122,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC4C_0O1h1uSK.","IT","504","Sesto S.Giovanni",45.53477,9.23611,"IT0480A",139,"traffic","urban","automatic",3.5,16,6,"ARPA-Lombardia"
"ITC4D_0O7k1uZf.","IT","674","Monza - via Machiavelli",45.58026,9.27357,"IT1743A",162,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITF31_0ayA1iax.","IT","ARPACAMPANIA_CIRILLO","Aversa Sc. Cirillo",40.9755,14.21142,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF31_0bHV1irJ.","IT","ARPACAMPANIA_CE52","Caserta CE52 Sc. De Amicis",41.07692,14.33125,"IT1487A",68,"traffic","urban","automatic",3.7,15,3.5,"ARPAC"
"ITF31_0bId1ira.","IT","ARPACAMPANIA_CE51","Caserta CE51 Ist.Manzoni",41.07861,14.33833,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF31_0bP31imJ.","IT","ARPACAMPANIA_CE54","Maddaloni CE54 Sc. Settembrini",41.04593,14.37808,"IT1488A",71,"traffic","suburban","automatic",4.4,25,8,"ARPAC"
"ITF31_0bWS1idM.","IT","ARPACAMPANIA_CS","S. Felice a Cancello C. Scolast.",40.99043,14.42399,"IT2218A",39,"traffic","suburban","automatic",3.7,10,20,"ARPAC"
"ITF32_0cRr1ixZ.","IT","ARPACAMPANIA_BENEVCS","Benevento Campo Sportivo",41.11575,14.77989,"IT2228A",125,"background","urban","automatic",4.4,NA,NA,"ARPAC"
"ITF32_0cTM1j06.","IT","ARPACAMPANIA_BN32","Benevento BN32 Via Mustilli",41.13139,14.78917,"IT0934A",159,"traffic","urban","automatic",4.4,150,6,"ARPAC"
"ITF33_0ajo1iCL.","IT","ARPACAMPANIA_VILLAAV","Pozzuoli Zona Villa Avellino",40.82288,14.12244,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF33_0b1L1iGa.","IT","ARPACAMPANIA_NA02","Napoli NA02 Osp. Santobono",40.84917,14.23111,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF33_0b4Z1iHO.","IT","ARPACAMPANIA_NA06","Napoli NA06 Museo Nazionale",40.85417,14.25111,"IT0898A",46,"traffic","urban","automatic",4.4,5,7,"ARPAC"
"ITF33_0b571iIv.","IT","ARPACAMPANIA_NA01","Napoli NA01 Oss. Astronomico",40.86369,14.25451,"IT1497A",145,"background","urban","automatic",4.4,NA,NA,"ARPAC"
"ITF33_0b7t1iHO.","IT","ARPACAMPANIA_NA07","Napoli NA07 Ferrovia",40.85417,14.27167,"IT1491A",13,"traffic","urban","automatic",4.4,22.3,6.7,"ARPAC"
"ITF33_0bCE1iR8.","IT","ARPACAMPANIA_CASORIA","Casoria Scuola Palizzi",40.91463,14.29861,"IT2216A",57,"background","suburban","automatic",4.4,NA,NA,"ARPAC"
"ITF33_0bfi1iSi.","IT","ARPACAMPANIA_MARCONI","S.Vitaliano Scuola Marconi",40.92443,14.48145,"IT2212A",31,"background","urban","automatic",4.4,NA,NA,"ARPAC"
"ITF33_0bJ81iIx.","IT","ARPACAMPANIA_NA09","Napoli NA09 Via Argine",40.86389,14.34139,"IT1493A",33,"traffic","suburban","automatic",4.4,NA,5,"ARPAC"
