"SiteCode","Countrycode","LocalCode","LocalName","Lat","Lon","EoICode","Altitude","AirQualityStationType","AirQualityStationArea","MeasurementType","InletHeight","BuildingDistance","KerbDistance","Source"
"ITC15_0MUN1ubn.","IT","003108801","Oleggio",45.5935,8.64508,NA,NA,"traffic","urban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC16_0Jbq1rSM.","IT","004078800","Cuneo Alpini",44.38175,7.5382,"IT1529A",550,"background","urban","automatic",3.2,20,15,"ARPA-Piemonte"
"ITC16_0JJm1sKs.","IT","004180800","Revello",44.71976,7.42622,"IT2119A",268,"background","rural","automatic",3.35,638,18,"ARPA-Piemonte"
"ITC16_0KKQ1rVb.","IT","004130801","Mondovì",44.40186,7.81463,"IT2118A",409,"traffic","urban","automatic",3.55,16,4,"ARPA-Piemonte"
"ITC16_0KP11sIf.","IT","004029801","Bra",44.70615,7.8431,NA,NA,"traffic","urban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC16_0Kte1sIH.","IT","004003800","Alba",44.70371,8.03303,"IT1524A",164,"background","urban","automatic",3.2,19,6,"ARPA-Piemonte"
"ITC16_0LFf1rXG.","IT","004201800","Saliceto",44.41223,8.16951,"IT1519A",392,"background","rural","automatic",3.2,20,7,"ARPA-Piemonte"
"ITC17_0LcN1sZ6.","IT","005120800","Vinchio",44.80801,8.31031,"IT1948A",258,"background","rural","automatic",3.38,24,27,"ARPA-Piemonte"
"ITC17_0LKC1sn0.","IT","005005802","Asti Baussano",44.89422,8.19756,"IT1903A",119,"traffic","urban","automatic",3.2,13,10,"ARPA-Piemonte"
"ITC17_0LLT1spN.","IT","005005801","Asti Acquisto",44.90893,8.20546,"IT1523A",150,"background","urban","automatic",3.5,8,11,"ARPA-Piemonte"
"ITC18_0Ly81tQ1.","IT","006039801","Casale Monferrato",45.13612,8.44518,NA,NA,"background","urban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC18_0MP21sp0.","IT","006003801","Alessandria Annunzio",44.90661,8.612,"IT0643A",95,"traffic","urban","automatic",3.65,17,6,"ARPA-Piemonte"
"ITC18_0MQq1srD.","IT","006003805","Alessandria Volta",44.9203,8.6232,"IT1830A",91,"background","urban","automatic",3.5,31,25,"ARPA-Piemonte"
"ITC18_0MsV1sR3.","IT","006114801","Novi Ligure",44.75814,8.79472,NA,NA,"traffic","urban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC18_0N2y1sna.","IT","006174800","Tortona",44.8978,8.85964,NA,NA,"traffic","urban",NA,NA,NA,NA,"ARPA-Piemonte"
"ITC18_0NY41sRt.","IT","006066800","Dernice",44.76335,9.05243,"IT1904A",620,"background","rural","automatic",3.2,38,8,"ARPA-Piemonte"
"ITC20_0I7g1uxl.","IT","LTLG","La Thuile - Les Granges",45.7297,6.96684,NA,1637,"background","rural",NA,NA,NA,NA,"ARPA-VdA"
"ITC20_0IzG1uxt.","IT","AOMF","Aosta - Mont Fleury",45.7305,7.29903,"IT0980A",577,"background","suburban","automatic",3.5,NA,NA,"ARPA-VdA"
"ITC20_0J071uyW.","IT","AOLI","Aosta - Via Liconi",45.7344,7.30426,NA,582,"background","urban",NA,NA,NA,NA,"ARPA-VdA"
"ITC20_0J3F1uyv.","IT","AOPL","Aosta - Piazza Plouves",45.7369,7.32372,"IT0983A",580,"background","urban","automatic",3.5,NA,NA,"ARPA-VdA"
"ITC20_0KCe1ucI.","IT","DOMO","Donnas - Montey",45.5966,7.76643,"IT0988A",341,"background","rural","automatic",6,NA,NA,"ARPA-VdA"
"ITC32_0LLh1qb9.","IT","S020001","REGIONE CAVALLO - ALBENGA",44.05194,8.20694,"IT2038A",2,"traffic","urban","automatic",2.3,NA,NA,"ARPA-Liguria"
"ITC32_0LLY1rUo.","IT","S230009","RIO PARASACCO - CENGIO",44.39703,8.20604,"IT2155A",450,"background","rural","automatic",4,NA,NA,"ARPA-Liguria"
"ITC32_0Lsg1rEB.","IT","S520003","QUILIANO",44.29389,8.41139,"IT1144A",16,"industrial","suburban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC32_0Lx71rAj.","IT","S640009","VADO LIGURE",44.2725,8.43889,"IT1143A",2,"industrial","urban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC32_0LXb1rSS.","IT","S150002","LOCALITA' FARINA - CAIRO M.",44.38241,8.28069,"IT1232A",330,"industrial","suburban","automatic",3,NA,NA,"ARPA-Liguria"
"ITC32_0M2d1rHE.","IT","S560007","CORSO RICCI - SAVONA",44.31278,8.47306,"IT1145A",12,"traffic","urban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC32_0M4e1rHd.","IT","S560018","VARALDO - SAVONA",44.31528,8.48556,"IT1883A",55,"background","urban","automatic",3,NA,NA,"ARPA-Liguria"
"ITC33_0MU31rTu.","IT","G170004","COGOLETO",44.39139,8.64306,"IT1944A",16,"background","suburban","automatic",1.8,NA,NA,"ARPA-Liguria"
"ITC33_0MxZ1rZQ.","IT","G250027","MULTEDO - PEGLI - GENOVA",44.42556,8.82611,"IT0852A",20,"traffic","urban","automatic",1.5,NA,NA,"ARPA-Liguria"
"ITC33_0N5H1roQ.","IT","G090001","CAMPORA - CAMPOMORONE",44.51861,8.87389,"IT1549A",120,"industrial","suburban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC33_0N9i1rfQ.","IT","G250112","BOLZANETO - GENOVA",44.46278,8.90139,"IT1850A",60,"traffic","urban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC33_0NBP1rXX.","IT","G250114","VIA BUOZZI - GENOVA",44.41389,8.91194,"IT1887A",17,"traffic","urban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC33_0NDv1rYD.","IT","G250024","CORSO FIRENZE - GENOVA",44.41806,8.9275,"IT0854A",105,"background","urban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC33_0NG71rWV.","IT","G250026","PARCO ACQUASOLA - GENOVA",44.4075,8.94111,"IT0856A",45,"background","urban","automatic",3.5,NA,NA,"ARPA-Liguria"
"ITC33_0NGy1rxA.","IT","G060002","PIAZZA GARIBALDI - BUSALLA",44.57278,8.94639,"IT1026A",380,"traffic","urban","automatic",3,NA,NA,"ARPA-Liguria"
"ITC33_0NHj1rxL.","IT","G060007","SARISSOLA - BUSALLA",44.57389,8.95111,"IT1751A",140,"industrial","suburban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC33_0NHY1rVn.","IT","G250113","CORSO BUENOS AIRES - GENOVA",44.40306,8.95,"IT1884A",7,"traffic","urban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC33_0NKT1rW6.","IT","G250107","SAN MARTINO - GENOVA",44.405,8.96806,"IT1698A",75,"traffic","urban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC33_0NOM1rUi.","IT","G250017","QUARTO - GENOVA",44.39639,8.99222,"IT0858A",85,"background","urban","automatic",6.5,NA,NA,"ARPA-Liguria"
"ITC33_0NzV1rNV.","IT","G460001","RAPALLO",44.35167,9.2225,"IT2039A",3,"traffic","urban","automatic",4,NA,NA,"ARPA-Liguria"
"ITC33_0OFo1rI2.","IT","G150003","CHIAVARI",44.31778,9.32361,NA,NA,"traffic","urban",NA,NA,NA,NA,"ARPA-Liguria"
"ITC34_0Pav1qdD.","IT","L220001","LE GRAZIE - POTOVENERE",44.06472,9.83889,"IT1546A",21,"industrial","suburban","automatic",3,NA,NA,"ARPA-Liguria"
"ITC34_0PbY1qlm.","IT","L150016","MAGGIOLINA - LA SPEZIA",44.11778,9.84278,"IT1536A",6,"background","urban","automatic",3,NA,NA,"ARPA-Liguria"
"ITC34_0Pdy1qjz.","IT","L150017","FOSSAMASTRA - LA SPEZIA",44.10667,9.85778,"IT1544A",3,"industrial","urban","automatic",3,NA,NA,"ARPA-Liguria"
"ITC34_0PfG1qne.","IT","L150004","SAN VENERIO - LA SPEZIA",44.12944,9.86583,"IT1547A",176,"industrial","suburban","automatic",3,NA,NA,"ARPA-Liguria"
"ITC34_0PkQ1qwJ.","IT","L040002","BOLANO",44.18306,9.89778,"IT1548A",275,"background","rural","automatic",3,NA,NA,"ARPA-Liguria"
"ITC34_0Pte1qkf.","IT","L270002","LARGO PERTINI - SARZANA",44.11093,9.95503,"IT2229A",25,"traffic","urban","automatic",3,NA,NA,"ARPA-Liguria"
"ITC34_0PUQ1qmi.","IT","L150019","CHIAPPA - LA SPEZIA",44.12361,9.79861,"IT1662A",54,"background","suburban","automatic",3,NA,NA,"ARPA-Liguria"
"ITC34_0PXe1qjB.","IT","L150014","AMENDOLA - LA SPEZIA",44.10167,9.81861,"IT1457A",3,"traffic","urban","automatic",3.5,NA,NA,"ARPA-Liguria"
"ITC34_0PZw1qky.","IT","L150015","SAN CIPRIANO - LA SPEZIA",44.11278,9.83278,"IT1456A",2,"traffic","urban","automatic",3.5,NA,NA,"ARPA-Liguria"
"ITC41_0MmQ1ufw.","IT","687","Ferno",45.61924,8.75697,NA,215,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC41_0Mtz1vF3.","IT","552","Varese - Vidoletti",45.8369,8.80393,"IT0732A",425,"background","urban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC41_0Mwc1vBq.","IT","560","Varese - via Copelli",45.81697,8.82024,"IT1588A",383,"traffic","urban","automatic",3.5,6,4,"ARPA-Lombardia"
"ITC41_0Myv1ua5.","IT","558","Busto Arsizio - Accam",45.58288,8.83449,"IT1459A",206,"background","suburban","automatic",3.5,NA,NA,"ARPA-Lombardia"
"ITC41_0NW51uh4.","IT","554","Saronno - via Santuario",45.62622,9.04006,NA,212,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
"ITC42_0NaQ1vBW.","IT","561","Como - viale Cattaneo",45.81504,9.06697,NA,202,NA,NA,NA,NA,NA,NA,"ARPA-Lombardia"
